Amount to Calculate, Monto a Calcular
Total before tax, Monto antes de impuestos
Tax, Impuestos
Total after tax, Total después de impuestos
Payment Value, Valor del pago
Entries for taxes, Entradas para impuestos
The process has started in the background, El proceso ha comenzado en segundo plano
Multiple invoices associated with the payment {0}, Múltiples facturas asociadas al pago {0}
There is no associated reference {0}, No hay referencia asociada {0}
There is no associated invoice {0}, No hay factura asociada {0}
This action will create Preview List. Are you certain?, Esta acción creará una lista de vista previa. ¿Estas seguro?
Amounts to zero - Paymen Entry: {0}, Importes en cero - Entrada de pago: {0}
The document has duplicate validated preview. Please verify, El documento tiene preview validado duplicado. Por favor verificar